item_id,order_id,product_id,quantity,price,discount_percent,tax_amount,line_total
216,72,216,6,502.54,50.0,98.36,1152.72
217,72,218,8,800.2,0.0,349.27,828.93
218,73,218,8,325.43,20.0,301.33,2277.69
219,73,249,2,419.18,15.0,39.88,384.85
220,73,248,0,427.4,,,
221,73,231,4,884.0,25.0,246.91,215.51
222,73,224,9,764.94,-5.0,377.96,6465.87
223,74,242,8,185.68,15.0,122.99,1812.66
224,74,235,6,865.26,5.0,145.17,1388.49
225,74,214,,0.0,50.0,,
226,76,249,5,222.06,20.0,60.49,723.26
227,76,240,6,635.49,0.0,40.02,2423.95
228,76,233,10,310.99,5.0,328.86,2330.1
229,77,250,10,539.87,15.0,609.74,7199.19
230,77,242,3,477.95,5.0,91.9,1167.44
231,77,201,3,870.62,150.0,143.74,2154.01
232,78,210,7,803.74,20.0,720.2,3157.22
233,78,204,5,785.5,25.0,346.86,5613.98
234,78,233,4,623.27,50.0,222.12,1765.02
235,79,213,1,71.24,25.0,4.05,13.14
236,79,239,3,843.37,5.0,268.33,1276.86
237,,226,4,211.03,25.0,118.97,970.39
238,,220,8,469.53,5.0,47.75,10.16
239,81,236,4,754.27,0.0,56.62,4046.34
240,81,,9,914.67,,,2289.75
241,81,227,6,297.09,50.0,169.49,824.59
242,81,231,4,611.88,15.0,194.97,1279.99
243,82,231,7,867.63,5.0,471.97,2109.5
244,82,219,5,581.54,150.0,160.6,2893.09
245,82,248,5,,25.0,,
246,82,211,7,369.47,5.0,251.34,2745.58
247,83,245,2,532.09,5.0,141.31,291.04
248,83,209,8,803.55,15.0,705.3,6103.8
249,83,233,7,749.95,150.0,459.33,7777.92
,84,248,3,40.25,5.0,16.85,
251,84,209,3,973.61,150.0,224.04,3750.72
252,84,204,5,784.4,0.0,382.6,4448.37
253,84,235,2,834.14,15.0,68.12,1415.76
254,84,203,6,751.08,25.0,552.67,3715.23
255,85,218,6,-78.77829795126547,20.0,-62.59,-503.0
256,85,220,8,723.81,150.0,294.77,49.73
257,85,237,3,451.16,25.0,178.77,261.39
258,85,230,2,490.62,-5.0,115.09,1452.66
259,85,244,2,573.3,5.0,55.95,83.24
260,86,231,-1,63.03,,,-27.48
261,86,206,2,402.94,15.0,43.08,557.3
262,86,238,1,997.86,150.0,122.88,1436.06
263,86,233,4,619.11,5.0,99.69,833.5
264,86,219,9,740.96,5.0,506.43,4972.53
265,87,231,5,63.09,25.0,23.76,22.01
266,87,248,2,649.1,25.0,102.5,325.52
267,88,232,2,237.45,50.0,64.65,86.32
268,89,236,1,301.86,5.0,4.87,372.7
269,89,201,8,117.21,0.0,74.85,93.51
270,89,,,925.51,50.0,,
271,89,217,5,116.41,15.0,25.15,553.28
272,89,218,4,212.71,15.0,87.9,1093.06
273,90,240,8,81.95,20.0,22.1,569.34
274,90,242,7,411.12,20.0,391.78,3087.79
275,91,227,0,634.55,5.0,,
276,92,231,1,729.97,20.0,61.93,329.95
277,92,207,1,208.88,5.0,26.62,288.02
278,92,206,3,398.0,150.0,101.35,1423.46
279,92,238,10,887.19,20.0,292.53,10883.12
280,93,238,3,,,,
281,93,247,7,12.4,-5.0,0.49,52.64
282,93,231,9,923.06,0.0,1168.55,959.67
283,94,218,8,734.72,-5.0,755.14,5326.14
284,94,233,1,961.23,150.0,28.12,1090.45
285,94,239,5,766.36,25.0,116.38,4051.53
286,94,242,4,685.92,5.0,88.1,3538.05
287,94,211,8,678.36,-5.0,156.54,2023.12
288,95,248,5,101.15,50.0,48.74,674.91
289,95,247,2,523.96,-5.0,67.6,242.38
290,95,205,8,170.19,5.0,116.91,1004.95
291,95,243,2,878.25,50.0,208.92,2252.98
292,96,244,10,443.26,25.0,650.7,3742.72
293,96,231,9,683.91,5.0,325.31,6917.62
294,97,243,2,643.73,5.0,54.15,1403.9
295,97,209,2,484.66,15.0,142.91,955.6
296,97,230,4,638.01,-5.0,376.64,2067.18
297,98,226,2,792.26,50.0,160.19,2299.43
298,98,233,7,183.2,150.0,87.53,965.23
299,98,226,7,731.57,-5.0,597.54,5784.5
,99,,5,0.0,,,
301,99,236,3,440.8,25.0,42.3,79.01
302,99,245,2,972.94,15.0,101.93,204.23
303,99,202,10,628.93,15.0,115.72,4155.68
304,101,203,5,468.15,25.0,209.86,1312.08
305,101,228,10,554.23,150.0,674.71,2480.05
306,101,215,4,10.29,20.0,0.68,35.64
307,102,249,3,472.01,0.0,187.23,630.16
308,102,220,7,220.4,-5.0,168.42,607.93
309,103,225,2,184.52,150.0,21.52,317.73
310,104,221,3,95.51,150.0,15.67,193.46
311,104,203,6,465.74,5.0,139.58,3151.84
312,104,201,5,754.39,-5.0,196.88,1655.06
313,104,212,3,357.35,20.0,43.21,789.03
314,105,229,4,659.49,25.0,340.13,686.72
315,105,202,,,20.0,,
316,105,235,8,135.37,5.0,157.16,914.54
317,105,231,4,61.46,20.0,29.53,102.94
318,106,224,6,538.5,20.0,477.26,2856.64
319,106,245,9,584.33,50.0,361.66,7469.13
320,106,207,3,41.11,,,79.18
321,107,228,4,644.4,25.0,72.17,2129.93
322,107,205,10,16.07,5.0,18.17,147.14
323,107,217,10,566.53,50.0,154.59,7816.72
324,107,230,10,923.79,-5.0,697.81,13403.43
325,107,230,-1,696.97,20.0,-79.02,
326,108,231,7,675.05,50.0,658.87,5946.75
327,108,222,2,81.61,50.0,1.04,203.31
328,108,249,7,264.02,20.0,134.15,1260.81
329,109,211,2,510.03,0.0,85.8,1287.57
330,109,,0,503.6,0.0,,
331,109,205,8,410.62,15.0,367.66,979.01
332,110,217,5,237.84,50.0,159.99,1444.21
333,110,207,5,659.86,0.0,489.41,3412.32
334,110,237,5,385.63,0.0,247.11,808.72
335,110,220,3,670.14,20.0,57.19,2752.02
336,111,237,5,354.04,5.0,111.25,1385.49
337,111,206,4,822.22,5.0,311.13,4676.04
338,112,221,6,79.76,-5.0,43.23,215.99
339,112,222,5,84.37,20.0,7.4,199.15
340,112,234,2,-46.79573649226157,,,-71.08
341,112,209,9,463.46,20.0,572.91,456.84
342,113,209,7,683.57,20.0,422.65,824.85
343,114,239,9,880.51,5.0,1157.79,7399.98
344,114,222,10,991.43,50.0,1047.34,614.67
345,114,210,8,130.55,-5.0,86.79,1213.3
346,114,243,1,289.2,25.0,23.16,17.95
347,115,237,1,513.98,15.0,64.68,677.46
348,115,207,10,426.93,5.0,156.77,612.23
349,115,237,1,244.16,5.0,29.07,88.5
,115,210,5,,50.0,,
351,116,205,8,373.64,-5.0,343.34,2243.89
352,116,243,2,473.58,25.0,96.31,198.2
353,116,232,4,153.38,5.0,46.73,220.74
354,117,246,7,637.98,50.0,50.51,3363.53
355,117,213,8,704.86,50.0,741.94,5262.94
356,117,242,4,569.42,-5.0,279.48,3265.85
357,118,241,4,347.32,-5.0,132.64,796.08
358,118,201,8,782.44,0.0,227.31,1814.04
359,118,222,10,162.97,50.0,7.79,2321.3
360,118,,,108.43,,,
361,119,208,9,540.39,25.0,48.73,1407.03
362,119,216,10,768.28,5.0,875.78,6376.93
363,119,215,5,744.14,20.0,408.44,2830.04
364,,245,9,270.22,20.0,12.4,416.28
365,,235,1,336.97,0.0,15.31,446.18
366,121,220,1,533.36,50.0,34.37,479.88
367,121,226,4,260.08,5.0,126.62,1180.96
368,121,213,3,257.59,0.0,9.3,173.97
369,121,236,6,329.93,-5.0,147.97,2450.14
370,121,245,7,687.7,50.0,578.73,202.09
371,122,239,2,179.74,150.0,53.11,148.25
372,122,245,10,131.98,-5.0,55.3,1191.63
373,123,245,2,946.84,15.0,218.72,1699.74
374,123,202,5,109.67,150.0,79.92,56.55
375,123,222,2,0.0,0.0,,
376,124,233,1,90.09,20.0,5.82,120.04
377,124,206,3,658.52,150.0,209.05,1551.23
378,126,237,7,941.73,0.0,734.41,9261.33
379,126,233,4,224.48,15.0,21.2,762.26
380,126,207,2,886.18,,,2600.5
381,126,206,5,263.37,20.0,140.03,540.96
382,127,236,4,778.3,0.0,80.84,3715.23
383,128,249,1,553.62,5.0,45.15,110.26
384,128,249,10,736.84,0.0,655.73,2380.28
385,128,239,0,,15.0,,
386,129,202,8,147.23,5.0,53.34,1154.04
387,129,232,5,901.49,50.0,408.32,2202.67
388,129,217,8,37.94,15.0,25.97,335.37
389,130,216,6,507.9,15.0,296.72,80.02
390,130,,-1,684.54,5.0,-54.76,-142.14
391,131,206,7,58.54,20.0,47.59,459.21
392,131,221,5,319.17,20.0,230.02,1316.79
393,131,246,3,77.82,50.0,26.4,157.18
394,131,241,4,43.94,20.0,14.42,82.23
395,131,206,6,100.12,-5.0,70.12,152.55
396,132,217,4,559.11,0.0,51.07,2475.42
397,132,215,6,304.63,25.0,175.03,731.95
398,132,220,5,200.03,-5.0,31.8,1036.15
399,132,210,3,953.64,50.0,363.19,1691.39
,133,231,6,978.11,,,
401,134,243,8,518.07,50.0,574.86,368.31
402,134,230,9,565.92,50.0,671.69,1646.72
403,134,249,10,672.24,150.0,641.3,449.37
404,134,230,1,286.17,150.0,4.44,173.9
405,134,249,,751.97,15.0,,
406,135,246,5,714.21,50.0,383.61,747.31
407,135,234,2,888.47,0.0,71.0,2257.24
408,135,235,5,934.5,150.0,356.08,6831.47
409,135,207,1,488.82,25.0,7.54,84.74
410,135,232,8,811.75,150.0,719.54,7012.86
411,136,208,3,925.01,-5.0,379.69,1945.45
412,136,203,10,509.49,25.0,645.75,78.81
413,137,240,6,676.1,25.0,114.97,1833.94
414,137,248,8,91.69,-5.0,45.08,578.87
415,137,246,9,166.39,15.0,220.81,1200.68
416,138,230,5,639.7,150.0,296.72,2187.88
417,139,211,10,493.3,0.0,685.09,7166.34
418,140,226,4,54.13,25.0,8.72,61.51
419,140,204,1,366.69,5.0,0.33,256.18
420,140,,4,,,,
421,140,228,8,27.27,15.0,0.25,317.96
422,140,215,3,399.21,-5.0,159.97,235.56
423,141,220,3,245.87,20.0,21.03,842.45
424,141,206,1,862.28,15.0,37.65,1200.43
425,142,207,8,-65.5226126964287,0.0,-61.08,
426,142,229,3,281.08,20.0,71.76,512.39
427,142,209,2,449.51,20.0,52.3,907.91
428,142,237,2,779.23,150.0,135.79,807.3
429,143,250,8,257.14,50.0,44.57,111.04
430,143,201,8,66.29,50.0,69.65,322.47
431,143,234,4,667.24,-5.0,167.45,3192.9
432,143,247,1,805.53,50.0,40.16,1194.11
433,144,212,8,170.72,25.0,87.24,2038.0
434,145,212,2,651.38,150.0,167.25,1520.04
435,145,224,2,829.95,5.0,113.07,1337.89
436,145,215,1,51.22,5.0,6.66,3.63
437,145,204,7,976.07,150.0,27.85,8177.17
438,146,204,2,731.1,15.0,178.11,1668.78
439,146,209,8,359.88,25.0,309.61,1076.37
440,146,245,0,285.3,,,
441,146,248,8,353.78,150.0,18.13,27.45
442,146,204,1,451.21,-5.0,56.36,119.8
443,147,250,4,179.76,-5.0,14.85,474.79
444,147,227,10,627.76,5.0,583.52,9365.22
445,147,229,6,896.12,50.0,333.51,7695.47
446,147,247,5,784.58,5.0,567.94,5195.15
447,147,242,9,990.82,0.0,957.71,11368.02
448,148,244,6,68.16,25.0,11.22,229.85
449,148,209,2,586.06,25.0,134.54,1371.16
,149,,,0.0,0.0,,
451,149,213,2,945.5,20.0,11.11,43.54
452,149,225,6,367.47,-5.0,246.66,2529.87
453,149,239,3,898.11,150.0,359.34,1390.83
454,151,213,5,496.36,20.0,321.14,3437.48
455,151,221,-1,,0.0,,
456,151,248,2,235.95,150.0,35.92,209.58
457,152,220,7,88.69,25.0,87.14,274.56
458,152,248,9,227.82,5.0,197.08,221.46
459,152,233,7,752.0,20.0,597.16,3763.15
460,152,229,1,464.45,,,444.49
461,152,250,7,332.56,15.0,142.83,189.78
462,153,220,9,923.32,5.0,1015.67,12100.01
463,153,227,4,679.49,50.0,270.47,200.79
464,154,227,3,113.45,150.0,18.3,278.98
465,154,239,5,622.39,150.0,436.77,2948.55
466,155,204,1,489.2,5.0,46.98,707.58
1,1,201,2,75.0,15.0,6.0,81.0
5,5,204,3,150.25,0.0,12.02,162.27
