order_id,customer_id,order_date,status,total_amount,source_system,last_updated
32,115,"May 21, 2024",refunded,1993.09,mobile_app,2024-05-22T17:00:00.000000Z
33,111,11/02/2024,refunded,2757.48,web_portal,2024-11-03 03:00:00
34,101,11/18/2023,Canceled,403.36,"",2023-11-18 15:00:00
35,110,20230530,pending,1468.58,,
36,103,"January 01, 2023",CANCELLED,217.11,new_api,01/03/2023 08:00 AM
37,104,"June 29, 2024",Refunded,658.14,mobile_app,07/01/2024 06:00 PM
38,108,11/30/2023,PENDING,207.56,"",2023-11-30T09:00:00.000000Z
39,115,20240329,Delivered,362.05,,1711897200
40,112,2024-13-45,COMPLETED,-256.93506607817847,new_api,2024-04-12T00:00:00.000000Z
41,117,2023-04-12,Delivered,165.39,"",1681398000
42,115,02/20/2023,unknwon,518.72,new_api,2023-02-20 23:00:00
43,104,03/08/2024,returned,2999.39,legacy_db,1709978400
44,101,"December 21, 2023",,905.79,mobile_app,2023-12-21 20:00:00
45,114,,complete,1518.44,new_api,01/01/2024 04:00 PM
46,101,20241201,Completed,1839.31,legacy_db,2024-12-03T10:00:00.000000Z
47,114,2024-03-08,Processing,2130.86,"",03/09/2024 04:00 PM
48,109,"January 21, 2024",processing,1835.03,new_api,2024-01-21T23:00:00.000000Z
49,117,20230627,COMPLETED,769.3,,1687942800
50,113,2025-06-15,delivered,0.0,web_portal,1725447600
51,122,03/29/2024,complete,289.42,,03/29/2024 11:00 AM
52,149,25-05-2023,unknwon,1946.86,,1685095200
53,116,"October 21, 2024",,1520.17,legacy_db,2024-10-21T16:00:00.000000Z
54,107,"October 02, 2024",cancelled,801.41,new_api,2024-10-03T13:00:00.000000Z
55,150,2024-09-27,canceled,2096.42,,2024-09-28 17:00:00
56,124,"August 29, 2024",refunded,2407.45,mobile_app,2024-08-31 12:00:00
57,125,20241031,Canceled,2270.4,new_api,2024-11-02 05:00:00
58,108,20231114,canceled,869.11,legacy_db,1700139600
59,112,09/23/2023,COMPLETED,1823.3,"",2023-09-24T05:00:00.000000Z
60,101,,Pending,,legacy_db,2024-03-14 15:00:00
61,129,02-01-2023,refunded,2875.75,new_api,2023-01-04T06:00:00.000000Z
62,121,20240831,cancelled,933.51,legacy_db,2024-09-02T02:00:00.000000Z
63,137,"February 10, 2023",processing,1695.94,legacy_db,2023-02-10T07:00:00.000000Z
64,101,"September 20, 2024",delivered,1976.84,,1726966800
65,102,20230701,Canceled,2544.6,legacy_db,07/01/2023 06:00 AM
66,138,20240514,PENDING,1507.1,"",2024-05-16 05:00:00
,106,2023-05-20,delivered,2193.85,"",2023-05-20T12:00:00.000000Z
68,128,"February 16, 2023",Delivered,2888.8,"",2023-02-16 21:00:00
69,128,2024-04-25,Delivered,2182.93,,1714204800
70,109,20230113,delivered,105.31,"",
71,101,07/11/2023,unknwon,178.53,mobile_app,07/13/2023 12:00 AM
72,120,"September 24, 2024",Canceled,1466.61,new_api,2024-09-24 01:00:00
73,144,20241128,shipped,1957.97,,2024-11-30 08:00:00
74,136,20240907,canceled,1794.61,web_portal,09/08/2024 02:00 AM
75,131,,COMPLETED,2746.48,legacy_db,2024-06-01T21:00:00.000000Z
76,137,12/11/2023,,2862.76,"",2023-12-13T04:00:00.000000Z
77,123,02/11/2023,pending,682.35,new_api,1676070000
78,125,2023-04-01,PENDING,544.45,legacy_db,04/01/2023 07:00 PM
79,103,2023-08-31,Cancelled,195.79,new_api,08/31/2023 11:00 AM
80,111,2024-13-45,CANCELLED,-52.10977031266369,"",1731265200
81,111,2024-06-24,"",808.63,mobile_app,06/26/2024 04:00 PM
82,150,07/12/2023,refunded,1145.13,"",2023-07-13 14:00:00
83,135,09/20/2023,returned,1806.58,,2023-09-20 01:00:00
84,101,20240310,Delivered,12.57,,2024-03-12 13:00:00
85,105,2023-05-15,,685.0,,05/15/2023 02:00 AM
86,109,02-02-2023,returned,1774.4,,2023-02-04 15:00:00
87,135,12-01-2023,cancelled,2157.2,web_portal,1673712000
88,143,"September 07, 2023",Delivered,1162.32,mobile_app,2023-09-09 09:00:00
,112,05-11-2023,unknwon,890.3,mobile_app,1699160400
90,138,,canceled,,new_api,2024-09-06 20:00:00
91,121,2023-09-24,PENDING,479.56,,2023-09-25T09:00:00.000000Z
92,139,20241022,CANCELLED,643.27,"",2024-10-23T18:00:00.000000Z
93,137,"November 28, 2024",Pending,120.75,"",2024-11-29 00:00:00
94,109,14-03-2024,complete,2984.5,web_portal,03/14/2024 06:00 AM
95,120,"February 20, 2023",refunded,2833.79,legacy_db,1676822400
96,113,20231122,complete,1074.24,"",2023-11-23T01:00:00.000000Z
97,102,28-04-2024,processing,1694.34,web_portal,2024-04-30 20:00:00
98,131,"July 06, 2024",unknwon,96.9,new_api,2024-07-07T22:00:00.000000Z
99,127,2023-03-11,unknwon,2345.69,legacy_db,2023-03-11T20:00:00.000000Z
100,149,2024-13-45,cancelled,0.0,"",2024-06-16T10:00:00.000000Z
101,156,"May 26, 2023",canceled,2003.1,new_api,2023-05-27 19:00:00
102,163,2023-10-31,,2037.48,,11/02/2023 05:00 PM
103,145,20230320,Pending,653.27,"",03/21/2023 07:00 PM
104,174,2023-05-12,Pending,2016.04,new_api,2023-05-13T11:00:00.000000Z
105,190,,,1333.24,mobile_app,
106,154,"March 24, 2023",unknwon,2615.27,web_portal,2023-03-25T01:00:00.000000Z
107,120,2024-10-20,"",828.42,legacy_db,2024-10-20T21:00:00.000000Z
108,182,"January 10, 2023",Refunded,2162.36,,01/12/2023 05:00 PM
109,149,20240625,Refunded,1436.8,web_portal,2024-06-26 03:00:00
110,193,03/08/2024,delivered,765.67,,2024-03-09 07:00:00
111,151,2024-01-24,pending,840.04,"",01/25/2024 10:00 AM
112,171,01-07-2023,CANCELLED,1392.36,new_api,2023-07-01 21:00:00
113,137,2024-02-01,Canceled,2453.43,"",1706864400
114,135,2024-01-04,returned,31.78,new_api,01/05/2024 03:00 PM
115,148,29-03-2023,returned,1287.54,web_portal,1680206400
116,122,07-03-2023,Shipped,2326.16,"",2023-03-08T16:00:00.000000Z
117,179,"October 20, 2023",COMPLETED,218.42,new_api,10/20/2023 10:00 AM
118,197,06/12/2023,cancelled,802.37,web_portal,1686747600
119,169,"July 03, 2023",shipped,101.94,new_api,1688364000
120,147,,Delivered,,mobile_app,1701799200
121,128,11/23/2023,returned,77.44,web_portal,2023-11-24T05:00:00.000000Z
122,119,20240607,unknwon,746.57,"",2024-06-09 02:00:00
123,109,23-07-2023,CANCELLED,243.82,web_portal,1690124400
124,105,02-04-2023,COMPLETED,2548.16,mobile_app,04/03/2023 08:00 PM
125,138,2025-06-15,"",159.9,,2023-11-05T22:00:00.000000Z
126,105,04/19/2023,PENDING,2952.96,new_api,2023-04-21T01:00:00.000000Z
127,196,11-04-2024,Canceled,1564.82,new_api,1712894400
128,182,29-11-2023,Completed,140.42,new_api,1701187200
129,188,05/13/2023,cancelled,399.57,new_api,2023-05-14T15:00:00.000000Z
130,143,09/07/2024,Pending,1824.21,mobile_app,2024-09-07 20:00:00
131,112,"September 14, 2024",CANCELLED,2384.04,,2024-09-14T12:00:00.000000Z
132,153,20230217,,2239.9,"",2023-02-19 21:00:00
133,185,03-07-2023,unknwon,1834.44,mobile_app,1688335200
134,200,20230816,Refunded,358.23,"",2023-08-17 21:00:00
135,135,,failed,1812.25,"",11/16/2023 06:00 AM
136,170,"April 06, 2023",returned,654.21,web_portal,1680886800
137,192,02/21/2024,COMPLETED,1971.62,legacy_db,1708610400
138,197,20240628,Delivered,448.61,new_api,2024-06-29T14:00:00.000000Z
139,139,08/16/2023,delivered,461.0,new_api,1692158400
140,113,2024-13-45,returned,2997.09,new_api,
141,,02-12-2023,completed,437.92,legacy_db,12/04/2023 12:00 PM
142,,"February 20, 2023",COMPLETED,1354.7,legacy_db,2023-02-20 00:00:00
143,,20230327,canceled,2292.62,new_api,1679965200
144,,23-04-2024,processing,2088.31,mobile_app,2024-04-25 11:00:00
145,,"February 11, 2023",canceled,1532.42,mobile_app,1676217600
146,,2023-02-28,Processing,2793.13,"",02/28/2023 10:00 AM
147,,"November 28, 2024",canceled,2191.33,mobile_app,11/30/2024 12:00 PM
148,,27-05-2024,Refunded,2771.17,mobile_app,05/29/2024 04:00 PM
149,,04/17/2023,,189.75,web_portal,04/17/2023 01:00 PM
150,,,complete,,web_portal,09/13/2024 02:00 AM
151,,29-01-2023,cancelled,2271.93,new_api,2023-01-31 17:00:00
152,,20-10-2023,delivered,975.69,web_portal,2023-10-20T01:00:00.000000Z
153,,09/30/2023,shipped,721.3,legacy_db,2023-10-01T02:00:00.000000Z
154,,20230702,,2925.93,legacy_db,1688266800
155,,20241022,canceled,1868.2,,1729724400
1,101,2024-01-15,completed,150.0,legacy_db,2024-01-15 10:30:00
5,104,2024-03-15,completed,450.75,new_api,2024-03-15 14:22:33
